50	33.27
100	35.11
150	41.94
200	53.17
273.15	74.55
298.15	82.44
300	83.02
400	113.52
500	139.35
600	160.09
700	176.78
800	190.45
900	201.82
1000	211.41
1100	219.56
1200	226.52
1300	232.49
1400	237.65
1500	242.11
1750	250.91
2000	257.26
2250	261.95
2500	265.5
2750	268.23
3000	270.37
