298.15	135.69
298.5	135.9
298.15	135.62
298.15	134.63
298.15	135.75
293.15	134.61
298.15	135.707
322.05	139.9
303.15	137.4
298.15	136.06
298.15	135.718
298.15	136.24
300	136.5
298.15	135.7
298.15	135.74
298.15	135.6
293.15	133.6
298.15	135.9
298.15	135.61
298.15	135.9
298.15	135.6
298.15	135.76
298.15	135.76
298.15	135.7
298	134.3
298.15	135.9
298	135.9
298	135.4
298	130
293	134.6
300	135.3
298	134.98
316	135.1
303	136.4
298	135.23
298.15	136.06
298	133.5
298.1	136
298.2	135.44
287.8	131.4
287.8	131.4
298.15	131.4
298.1	135.1
323.15	143.57
300	135.1
298	132.2
293.2	133.1
303	133.9
298	137.2
298	133.5
